FileID,Word Num,Normalized,Language,w/n/naw,Element
bleh0020,1,centuria,la,w,"<w xml:id=""bleh0020-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0020,2,Quarti,la,w,"<w xml:id=""bleh0020-2"" xml:lang=""la"">Quarti</w>"
bleh0021,1,centuria,la,w,"<w xml:id=""bleh0021-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0021,2,Quarti,la,w,"<w xml:id=""bleh0021-2"" xml:lang=""la"">Quarti</w>"
bleh0022,1,centuria,la,w,"<w xml:id=""bleh0022-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0022,2,Severi,la,w,"<w xml:id=""bleh0022-2"" xml:lang=""la"">Severi</w>"
bleh0023,1,centuria,la,w,"<w xml:id=""bleh0023-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0023,2,Severi,la,w,"<w xml:id=""bleh0023-2"" xml:lang=""la"">Severi</w>"
bleh0024,1,centuria,la,w,"<w xml:id=""bleh0024-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0024,2,Titinii,la,w,"<w xml:id=""bleh0024-2"" xml:lang=""la"">Titinii</w>"
bleh0025,1,centuria,la,w,"<w xml:id=""bleh0025-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0025,2,Titinii,la,w,"<w xml:id=""bleh0025-2"" xml:lang=""la"">Titinii</w>"
bleh0026,1,centuria,la,w,"<w xml:id=""bleh0026-1"" xml:lang=""la""><expan><abbr><am>Ɔ</am></abbr><ex>centuria</ex></expan></w>"
bleh0026,2,Trosii,la,w,"<w xml:id=""bleh0026-2"" xml:lang=""la""><expan><abbr>Trosi</abbr><ex>i</ex></expan></w>"
