Normalized,Occurrences,Lemma,POS,NormalizedID,MorphNotes,divine name?,divine name key,persname?,persname gender,persname type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
legio,"jeru0554-22, masa0853-1, masa0937-1, megi0002-21",legio,PROPN,w-legio,Case=nominative|Gender=feminine|Number=singular,,,,,,,,,,,y,legion,,,,,,,,,,,,,,,,,,,,,
legio,"caes0529-1, jeru0535-1, jeru0536-1",legium,PROPN,w-legio,None,,,,,,,,,,,y,legion,,,,,,,,,,,,,,,,,,,,,
legionis,"caes0021-5, caes0034-2, caes0035-5, caes0045-6, caes0046-2, caes0047-7, caes0048-2, caes0049-7, caes0050-1, caes0051-9, caes0052-9, caes0053-6, caes0054-8, caes0119-5, caes0146-6, caes0146-14, caes0148-7, caes0349-1, caes0350-3, emma0001-8, nabl0001-11",legio,NOUN,w-legionis,Case=genitive|Gender=feminine|Number=singular,,,,,,,,,,,y,legion,,,,,,,,,,,,,,,,,,,,,
legionis,caes0031-10,legionus,NOUN,w-legionis,None,,,,,,,,,,,y,legion,,,,,,,,,,,,,,,,,,,,,
legionis,jeru0491-14,legion,PROPN,w-legionis,None,,,,,,,,,,,y,legion,,,,,,,,,,,,,,,,,,,,,
liberatori,maay0001-3,liberatus,NOUN,w-liberatori,None,,,,,,,,,,,,,,,y,freedperson,,,,,,,,,,,,,,,,,
liberis,unkn0130-88,liberi,NOUN,w-liberis,Case=ablative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
liberti,caes0146-25,libertus,NOUN,w-liberti,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,y,freedperson,,,,,,,,,,,,,,,,,
liberto,caes0002-4,libertus,NOUN,w-liberto,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,y,freedperson,,,,,,,,,,,,,,,,,
Livi,masa0948-1,liuius,PROPN,w-livi,None,,,y,m,other,Livius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longinus,nabl0001-8,longinus,PROPN,w-longinus,None,,,y,m,other,Livius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucilio,jeru0494-12,lucilius,PROPN,w-lucilio,None,,,y,m,other,Lucilius,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucius,jeru0491-10,lucius,PROPN,w-lucius,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Lucius,,,,,,,,,,,,,,,,,,,,,,,,,,,
ludis,caes0122-6,ludus,NOUN,w-ludis,Case=ablative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,y,ludus,,,,,,,,,
lusitanorum,unkn0130-45,lusitani,PROPN,w-lusitanorum,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonicae,emma0001-10,macedonicus,ADJ,w-macedonicae,None,,,,,,,,,,,y,unitname,y,Macedonian,,,,,,,,,,,,,,,,,,,
magnum,megi0002-19,magnus,PROPN,w-magnum,Case=genitive|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magnus,caes0119-3,magnus,PROPN,w-magnus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maiestati,caes0019-5,maiestas,NOUN,w-maiestati,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maiestatique,"bshe0006-22, caes0006-16, caes0014-23, caes0017-23, caes0029-3",maiestatus,NOUN,w-maiestatique,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maioris,ashk0003a-5,magnus,ADJ,w-maioris,Case=genitive|Gender=masculine|Degree=comparative|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manibus,nabl0002-2,manus,NOUN,w-manibus,Case=ablative|Gender=feminine|Number=plural,y,chthonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manibus,"caes0146-2, nabl0001-2",manes,PROPN,w-manibus,None,y,chthonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manibus,caes0160-2,manibus,ADV,w-manibus,None,y,chthonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marci,"bani0003-2, masa0949-1, masa0950-1",marcus,PROPN,w-marci,Case=nominative|Gender=masculine|Number=plural,,,y,m,other,Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco,"ashk0003a-12, ashk0003b-8, caes0009-8, caes0107-3",marcus,PROPN,w-marco,Case=ablative|Gender=masculine|Number=singular,,,y,m,other,Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcum,caes0003-1,marcus,PROPN,w-marcum,Case=genitive|Gender=masculine|Number=plural,,,y,m,other,Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus,"caes0018-10, masa0829-1, unkn0131-3",marcus,PROPN,w-marcus,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Marcus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marini,caes0164-2,marinus,PROPN,w-marini,Case=nominative|Gender=masculine|Number=plural,,,y,m,other,Marinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARION,jeru0164-1,MARION,VERB,w-marion,None,,,y,f,other,Miriam,,,,,,,,,,,,,,,,,,,,,,,,,,,
maritus,caes0148-10,maritus,NOUN,w-maritus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,husband,,,,,,,,,,,,,,,,,
mater,caes0044-9,mater,NOUN,w-mater,Case=nominative|Gender=feminine|Number=singular,,,,,,,,,,,,,,,y,mother,,,,,,,,,,,,,,,,,
Mauretana,unkn0130-38,Mauretanus,ADJ,w-mauretana,None,,,,,,,,,,,,,y,Mauretanian,,,,,,,,,,,,,,,,,,,
maurorum,nabl0002-6,mauri,PROPN,w-maurorum,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
Maximiano,"ashk0003b-11, bshe0006-9, caes0009-11, caes0014-8",maximianus,PROPN,w-maximiano,None,,,y,m,other,Maximianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximianus,"yotv0001-6, yotv0001-11",maximianus,PROPN,w-maximianus,None,,,y,m,other,Maximianus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximino,"caes0106-6, kara0001-6",Maximinus,PROPN,w-maximino,None,,,y,m,other,Maximinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximo,"caes0106-15, kara0001-15, maay0001-25",maximus,PROPN,w-maximo,Case=ablative|Gender=neuter|Number=singular,,,y,m,other,Maximus,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximo,"caes0027-6, jeru0554-14, maay0001-19, maay0001-21, maay0001-23, tsha0002-14",magnus,ADJ,w-maximo,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximus,"achz0001-9, unkn0130-10, unkn0131-10, unkn0131-12, unkn0131-14",magnus,ADJ,w-maximus,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merenti,nabl0002-12,mereor,VERB,w-merenti,Case=ablative|Gender=masculine|Mood=participle|Number=singular|Tense=present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merenti,"caes0163-2, nabl0001-24",merens,ADJ,w-merenti,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merenti,caes0018-20,merenti,X,w-merenti,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meritis,caes0031-16,meritum,NOUN,w-meritis,Case=ablative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
merverant,unkn0130-79,mereo,VERB,w-merverant,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mesopotamiae,caes0010-6,mesopotamia,PROPN,w-mesopotamiae,None,,,,,,,,,,,,,,,,,y,Mesopotamia,https://pleiades.stoa.org/errata/1001936,,,,,,,,,,,,,,
metropolis,"caes0010-10, caes0010-23, caes0011-9",metropolis,NOUN,w-metropolis,Case=accusative|Gender=feminine|Number=plural,,,,,,,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,
miles,"emma0001-7, nabl0001-10",miles,NOUN,w-miles,Case=nominative|Gender=masculine|Number=singular,,,,,,,,,,,y,rank,,,,,,,,,,,,,,,,,,,,,
milia,ashk0003a-25,mille,NUM,w-milia,Case=accusative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,y,length,,,,,,,
militaverunt,unkn0130-24,milito,VERB,w-militaverunt,Mood=indicative|Number=plural|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,,,
militavit,emma0001-15,milito,VERB,w-militavit,Mood=indicative|Number=singular|Person=3rd|Tense=perfect|Voice=active,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,,,
milliaria,unkn0130-52,milliaria,NOUN,w-milliaria,None,,,,,,,,,,,y,unitname,,,,,,,,,,,,,,,,,,,,,
missione,unkn0130-82,missio,NOUN,w-missione,Case=ablative|Gender=feminine|Number=singular,,,,,,,,,,,y,generic,,,,,,,,,,,,,,,,,,,,,
mitia,haif0020a-7,mitis,ADJ,w-mitia,Case=nominative|Gender=neuter|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepos,cape0001-9,nepos,PROPN,w-nepos,Case=nominative|Gender=masculine|Number=singular,,,y,m,other,Nepos,,,,,,,,,,,,,,,,,,,,,,,,,,,
nepot,masa0947-1,nepot,VERB,w-nepot,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nepoti,"ashk0003a-11, jeru0554-9, tsha0002-9",nepos,NOUN,w-nepoti,Case=dative|Gender=masculine|Number=singular,,,,,,,,,,,,,,,y,grandson,,,,,,,,,,,,,,,,,
Nervae,"cape0001-8, jeru0554-8, tsha0002-8",nerua,PROPN,w-nervae,None,,,y,m,other,Nerva,,,,,,,,,,,,,,,,,,,,,,,,,,,
nobilissimi,yotv0001-12,nobilis,ADJ,w-nobilissimi,Case=nominative|Gender=masculine|Degree=superlative|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nobilissimo,kara0001-16,Nobilissimus,PROPN,w-nobilissimo,None,,,y,m,other,Nobilissimus,,,,,,,,,,,,,,,,,,,,,,,,,,,
nobilissimo,"caes0014-12, caes0017-12, caes0106-16",nobilis,ADJ,w-nobilissimo,Case=ablative|Gender=masculine|Degree=superlative|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nomina,unkn0130-84,nomen,NOUN,w-nomina,Case=nominative|Gender=neuter|Number=plural,,,y,,other,generic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nostius,masa0831-2,Nostius,PROPN,w-nostius,None,,,y,,other,Nostius,,,,,,,,,,,,,,,,,,,,,,,,,,,
nostri,"caes0011-7, kara0001-20, megi0002-11",noster,DET,w-nostri,Case=nominative|Gender=masculine|Number=plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nostri,caes0106-20,nostri,NUM,w-nostri,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nostro,"bshe0006-4, caes0009-7, caes0106-10, kara0001-10, maay0001-14",noster,DET,w-nostro,Case=ablative|Gender=neuter|Number=singular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novo,tsha0001-10,nouus,ADJ,w-novo,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
