Normalized,Occurrences,Lemma,POS,NormalizedID,MorphoNotes,divine name?,divine name key,persname?,persname gender,type,persname key,persname link,title?,title type,title key,military?,military key,ethnicon?,ethnicon key,term of relationship?,relationship key,location?,location key,location link,date?,date type,calendar type,occupation?,occupation key,measure?,measure key,object?,object key,religious term?,religious term key,other?,other type,other key
גבר,hraq0001-42,גֶּבֶר,Noun,w-גבר,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפשר,hraq0001-43,אֶפְשָׁר,Modal,w-אפשר,Modal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
צן,hraq0001-44,צִן,Propername,w-צן,Propername MascFem Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אנתה,"hraq0001-45, mare0136-56, mger0094-2, mger0132-1",אַנְתָּה,Pronoun,w-אנתה,Pronoun Masc Sing P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בטוטא,hraq0001-48,טוּט,Noun,w-בטוטא,Aramaic PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זבידו,"idum0001-1, idum0094-4, idum0110-4, idum0111-4, idum0112-1, idum0113-2, idum0220-6, idum0221-4, idum0295-1, idum0435-4, idum0436-4, idum0437-4, idum0438-5, idum0439-3, idum0440-4, idum0441-3, idum0442-1, idum0443-1, idum0444-1, idum0445-1, idum0446-1",?,Noun,w-זבידו,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עיראח,idum0001-3,?,Noun,w-עיראח,Noun Fem Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טחון,"idum0001-7, idum0205-4, idum0297-4, idum0300-4, idum0301-4, idum0303-3, idum0310-11, idum0442-4",טְחוֹן,Noun,w-טחון,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תמוז,"idum0001-8, idum0486-2, masa0580-1, zoor0400-12, zoor0431-21",תַּמּוּז,Propername,w-תמוז,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רקידדקיר,"idum0001-11, idum0029-9",?,Modal,w-רקידדקיר,Modal Masc Sing P3 Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ס,"idum0001-12, idum0006-8, idum0007-13, idum0009-5, idum0015-14, idum0027-11, idum0029-10, idum0042-10, idum0053-7, idum0056-5, idum0066-17, idum0086-10, idum0086-18, idum0105-8, idum0126-7, idum0129-7, idum0130-3, idum0144-5, idum0145-5, idum0149-9, idum0153-9, idum0153-15, idum0156-14, idum0156-17, idum0157-19, idum0159-14, idum0161-11, idum0164-11, idum0169-8, idum0215-9, idum0297-10, idum0298-3, idum0299-4, idum0300-7, idum0301-7, idum0303-6, idum0309b-5, idum0310-15, idum0314-7, idum0323-7, idum0328-5, idum0334-10, idum0335-10, idum0337-10, idum0338-3, idum0376-9, idum0377-4, idum0385-8, idum0386-8, idum0420-6, idum0420-9, idum0422-3, idum0438-8, idum0440-7, idum0442-8, idum0444-3, idum0445-3, idum0453-5, idum0454-8, idum0458-3, idum0461-13, idum0465-5, idum0466-9, idum0467-5, idum0472-4, idum0474-6, idum0474-10, idum0481-6, idum0482-6, idum0489-7, idum0490-7, idum0492-10, idum0500-8, idum0508-9, idum0512-7, idum0514-3, idum0514-10, idum0521-9, idum0523-4, idum0525-9, idum0526-8, idum0528-4, idum0530-5, idum0531a-7, idum0531a-15, idum0531b-4, idum0535-9, idum0536-8, idum0537a-8, idum0537b-7, idum0543-4, idum0544-6, idum0544-9, idum0546-8, idum0548-3, idum0551-3, idum0554-9, idum0556-3, idum0561-3, idum0562-3, idum0563-8, idum0564-9, idum0566-3, idum0566-7, idum0567-8, idum0569-9, idum0572-4, idum0575-8, idum0580-5, idum0585-2, idum0587-8, idum0592-6, idum0592-8, idum0595-2, idum0596-6, idum0596-9, idum0599-8, idum0603-3, idum0608-3, idum0622-5, idum0623-10, idum0623-13, idum0625-7, idum0626-8, idum0631-10, idum0634-5, idum0636-3, idum0638-9, idum0643-4, idum0644-4, idum0648-9, idum0652-6, idum0652-8, idum0653-8, idum0656-3, idum0658-4, idum0660-11, idum0670-6, idum0670-9, idum0672-10, idum0683-10, jeru0458-3, mare0017-3, mare0019-2, mare0022-5, mare0070-7, mare0071-9, mare0074-11, mare0084-6, mare0085-3, mare0086-1, mare0087-2, mare0087-3, mare0089-1, mare0091-3, mare0091-8, unkn0105-48",ס,Num,w-ס,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ק,"idum0001-15, idum0006-10, idum0007-15, idum0015-16, idum0017-13, idum0018-13, idum0024-12, idum0024-17, idum0024-22, idum0025-13, idum0027-13, idum0029-12, idum0030-12, idum0056-7, idum0057-13, idum0066-8, idum0067-8, idum0068-9, idum0075-13, idum0086-12, idum0086-20, idum0098-12, idum0107-13, idum0118-15, idum0119-10, idum0122-13, idum0123-7, idum0128-12, idum0130-5, idum0145-7, idum0146-7, idum0149-11, idum0150-5, idum0153-11, idum0153-17, idum0162-11, idum0166-14, idum0166-19, idum0166-23, idum0168-15, idum0169-10, idum0170-12, idum0172-7, idum0176-5, idum0205-8, idum0212-13, idum0216-11, idum0218-8, idum0226-7, idum0297-12, idum0298-5, idum0299-6, idum0300-9, idum0301-9, idum0303-8, idum0309b-7, idum0310-17, idum0312-21, idum0317-13, idum0328-7, idum0332-9, idum0333-16, idum0334-12, idum0335-12, idum0335-16, idum0337-12, idum0376-11, idum0385-10, idum0386-10, idum0387-5, idum0420-7, idum0420-10, idum0435-6, idum0435-9, idum0436-6, idum0436-9, idum0441-12, idum0444-4, idum0447-5, idum0448-6, idum0449-10, idum0450-8, idum0452-16, idum0453-6, idum0455-9, idum0457-5, idum0458-4, idum0460-9, idum0463-6, idum0466-11, idum0468-6, idum0474-7, idum0474-11, idum0477-13, idum0480-10, idum0481-7, idum0482-7, idum0488-6, idum0488-11, idum0489-8, idum0490-8, idum0492-11, idum0493-8, idum0498-4, idum0500-9, idum0502-5, idum0508-10, idum0509-8, idum0511-4, idum0512-9, idum0514-11, idum0518-9, idum0521-11, idum0527-8, idum0531a-9, idum0531a-17, idum0536-10, idum0537a-10, idum0537b-8, idum0537b-10, idum0544-7, idum0548-4, idum0554-11, idum0556-4, idum0566-8, idum0568-8, idum0569-11, idum0572-5, idum0575-10, idum0580-7, idum0581-10, idum0585-3, idum0587-9, idum0592-9, idum0596-7, idum0600-9, idum0601-14, idum0603-4, idum0608-4, idum0613-6, idum0614-6, idum0614-8, idum0618a-7, idum0619-11, idum0621-8, idum0621-12, idum0623-11, idum0623-14, idum0626-9, idum0627-5, idum0631-11, idum0634-3, idum0634-6, idum0635-3, idum0641-7, idum0642-7, idum0643-5, idum0644-6, idum0645-15, idum0646-4, idum0649-9, idum0653-10, idum0656-4, idum0657-4, idum0661-7, idum0662-5, idum0667-3, idum0670-7, idum0670-10, idum0671-5, idum0672-11, idum0676-11, idum0677-8, jeru0530-7, mare0023-1, mare0070-8, mare0071-11, mare0074-7, mare0074-13, mare0078-3, mare0085-6, unkn0105-50, unkn0107-9, unkn0107-44, unkn0107-49",ק,Num,w-ק,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זבדיאל,idum0001-18,זַבְדִּיאֵל,Propername,w-זבדיאל,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנעל,"idum0003-4, idum0004-4, idum0128-6, idum0148-4, idum0424-4, idum0428-3, idum0461-4, idum0521-6, idum0573-8",נַעַל,Noun,w-הנעל,PreLets-1 Pre_DefArt Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוסיתע,"idum0003-5, idum0011-1, idum0030-6, idum0177-7, idum0322-9, idum0510-7, mare0047-2, mare0110-6, mare0128-1",?,Noun,w-קוסיתע,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לבני,"idum0003-6, idum0006-5, idum0007-7, idum0009-2, idum0010-2, idum0010a-8, idum0011-2, idum0012-2, idum0024-5, idum0027-5, idum0028-7, idum0029-7, idum0030-9, idum0031-2, idum0033-8, idum0034-7, idum0035-7, idum0036-7, idum0037-7, idum0038-2, idum0039-2, idum0041-2, idum0042-6, idum0046-5, idum0047-2, idum0049-5, idum0050-5, idum0051-2, idum0055-2, idum0057-7, idum0059-2, idum0061-7, idum0063-7, idum0066-4, idum0067-4, idum0068-6, idum0070-3, idum0071-2, idum0072-2, idum0073-5, idum0074-5, idum0076-6, idum0078-6, idum0079-7, idum0080-5, idum0081-2, idum0082-2, idum0083-4, idum0084-5, idum0086-7, idum0086-15, idum0087-5, idum0088-5, idum0089-5, idum0090-4, idum0091-5, idum0092-6, idum0094-7, idum0096-2, idum0097-2, idum0098-9, idum0099-7, idum0100-7, idum0102-1, idum0107-9, idum0110-5, idum0111-5, idum0114-2, idum0118-8, idum0120-8, idum0121-6, idum0123-5, idum0125-5, idum0126-5, idum0127-2, idum0128-8, idum0129-5, idum0130-1, idum0131-1, idum0132-2, idum0133-3, idum0134-2, idum0135-5, idum0137-6, idum0138-4, idum0142-4, idum0144-2, idum0154-2, idum0157-16, idum0159-7, idum0162-7, idum0163-2, idum0164-7, idum0172-2, idum0173-2, idum0176-3, idum0177-2, idum0179-2, idum0181-8, idum0182-2, idum0209-2, idum0210-2, idum0212-9, idum0215-4, idum0216-7, idum0217-5, idum0220-7, idum0222-2, idum0226-6, idum0227-2, idum0228-2, idum0232-3, idum0682-5",בני_פעל,Verb,w-לבני,Aramaic Verb Masc Sing P3 Future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בעלרם,"idum0003-7, idum0028-8, idum0029-8, idum0030-10, idum0031-3, idum0038-3, idum0039-3, idum0045-3, idum0046-6, idum0047-3, idum0049-6, idum0054-3, idum0055-3",?,Noun,w-בעלרם,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנטן,"idum0003-8, idum0027-8, idum0078-8, idum0438-7, idum0454-7, idum0466-8, idum0489-5, idum0508-8, idum0536-7, idum0554-8, idum0564-8, idum0569-8, idum0598-5, idum0631-8, idum0638-8, idum0648-8, idum0653-7",חנט_פעל,Verb,w-חנטן,Aramaic Verb Masc Pl P1 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
סאן,"idum0003-9, idum0004-15, idum0033-14, idum0034-13, idum0035-12, idum0036-10, idum0037-10, idum0039-4, idum0041-5, idum0078-11, idum0079-10, idum0080-8, idum0108-6, idum0127-5, idum0148-9, idum0160-7, idum0173-5, idum0228-4, idum0421-4, idum0499-4, idum0499-8, idum0533-4, idum0552-5, idum0598-6, idum0682-8",סָאן,Propername,w-סאן,Propername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עשרה,"idum0003-10, idum0033-12, idum0034-11, idum0038-5, idum0148-10, masa0575-6, masa0575-10, masa0583-8",עֲשָׂרָה,Num,w-עשרה,Num Masc Pl Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ושתה,"idum0003-11, zoor0401-8",שׁתי_פעל,Verb,w-ושתה,PreLets-1 Pre_Conj Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קבן,"idum0003-12, idum0004-17, idum0034-16, idum0036-12, idum0038-7, idum0108-9, idum0127-7, idum0160-9, idum0173-7, idum0533-6, idum0552-8, idum0579-9, idum0682-10",קַבָּא,Noun,w-קבן,Aramaic Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_Fem Suf_Pl Suf_P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חמשה,"idum0003-13, idum0004-16, masa0554-11, zoor0421-8",חֲמִשָּׁה,Num,w-חמשה,Num Masc Pl Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ופלג,"idum0003-14, idum0004-19, idum0428-8, idum0499-11, idum0552-10",פלג_פעל,Verb,w-ופלג,Aramaic PreLets-1 Pre_Conj Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוס,"idum0004-5, idum0048-4, idum0482-9, idum0511-6",קְוָס,Noun,w-קוס,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקוס,"idum0004-7, idum0211-2, idum0590-7, idum0654-2, idum0659-2",קְוָס,Noun,w-לקוס,PreLets-1 Pre_Prep Pre_Def Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ראש,"idum0004-12, idum0105-7, idum0145-4, idum0146-6, idum0147-7, idum0149-8, idum0157-18, idum0205-6, idum0297-9, idum0299-3, idum0309b-4, idum0310-14, idum0442-7, idum0447-3, idum0500-7, idum0643-3, idum0644-3, idum0683-9, mare0080-1",רֹאשׁ,Noun,w-ראש,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כר,"idum0004-13, idum0035-10, idum0494-3, idum0512-6, idum0597-5",כַּר,Noun,w-כר,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חד,"idum0004-14, idum0035-11, idum0060-3, idum0079-14, idum0134-5, idum0326-12, idum0510-6, idum0545-3, idum0591-3, mare0133-4, unkn0104-28",חַד,Prefix,w-חד,Prefix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ארבעה,"idum0004-18, idum0070-5, idum0108-10, idum0127-8, idum0133-6, idum0160-10, idum0579-10, zoor0452-8",אַרְבַּע,Noun,w-ארבעה,Noun Fem Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאדר,"idum0006-3, idum0111-3, idum0299-10, idum0300-11, idum0301-13, idum0303-12, idum0438-2, idum0454-2, idum0482-2, idum0508-3, idum0536-2, idum0570-2, idum0573-3, idum0587-2, idum0638-3, idum0653-2, mare0016-3, masa0561-3, masa0583-3",אֲדָר,Noun,w-לאדר,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עוי,"idum0006-4, idum0216-8",עוי_פיעל,Verb,w-עוי,Verb Fem Sing P2 Imperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
משח,"idum0006-7, idum0068-8, idum0172-6, idum0323-3, idum0323-6, idum0337-9, idum0441-9, idum0441-11, idum0444-2, idum0453-4, idum0461-12, idum0464-6, idum0464-9, idum0482-5, idum0504-3, idum0565-6, idum0573-13, idum0579-6, idum0581-7, idum0581-9, idum0587-7, idum0626-7, idum0627-4, idum0656-2, idum0667-2, idum0671-4, idum0672-9, idum0682-7, mare0095-1",משׁח_פעל,Verb,w-משח,Aramaic Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לסיון,"idum0007-3, idum0015-3, idum0050-3, idum0152-3, idum0153-3, idum0169-3, idum0295-7, idum0314-3, idum0317-3, idum0327-3, idum0333-3, idum0334-3, idum0336-3, idum0449-2, idum0450-2, idum0462-2, idum0528-5, idum0529-2, idum0537a-2, idum0537b-2, idum0545-6, idum0574-2, idum0590-3, idum0598-3, idum0601-2, idum0615-2, idum0623-3, idum0640-2, idum0649-3, idum0666-11, idum0676-3, idum0677-3, mare0076-3, masa0559-3",סִיוָן,Noun,w-לסיון,Aramaic PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שעדאל,"idum0007-6, idum0008-7, idum0009-1, idum0010a-7, idum0023-10, idum0024-9, idum0124-15, idum0654-6",?,Verb,w-שעדאל,Verb Fem Sing P3 Past Suf_Proniminal SufType_Nominative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למסכנת,"idum0007-9, idum0008-11, idum0026-10, idum0057-9, idum0159-10, idum0166-10, idum0449-7, idum0450-5, idum0452-12, idum0534-7, idum0610-6",סכן_פועל,Verb,w-למסכנת,PreLets-1 Pre_Prep Pre_NotDef Verb Fem Sing PAny Present Passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מנקדה,"idum0007-10, idum0008-12, idum0026-11, idum0054-5, idum0057-10, idum0105-6, idum0106-6, idum0159-11, idum0307-7, idum0449-8, idum0450-6, idum0452-13, idum0500-6, idum0534-8, idum0555-4, yati0001-11",מְנַקַּד,Ptcp,w-מנקדה,Aramaic Ptcp Fem Sing P3 Abs Passive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שכ,"idum0007-11, idum0008-13, idum0042-8, idum0061-9, idum0090-6, idum0161-9, idum0335-8, idum0440-6, idum0521-8, idum0584-2, idum0622-4",שכ,Num,w-שכ,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לכסלו,"idum0008-3, idum0037-3, idum0079-3, idum0081-10, idum0109-1, idum0135-3, idum0146-11, idum0176-2, idum0337-3, idum0420-2, idum0429-2, idum0453-8, idum0461-2, idum0474-2, idum0521-2, idum0522-3, idum0544-2, idum0581-3, idum0582-6, idum0591-6, idum0592-2, idum0596-2, idum0614-2, idum0647-4, idum0652-2, idum0668-3, idum0670-2, unkn0105-4",כִּסְלֵו,Noun,w-לכסלו,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
היתי,"idum0008-6, idum0104-4, idum0160-5, idum0312-6, idum0333-6, idum0341-6, idum0473-5, idum0524-2, idum0615-5, idum0666-1, idum0669-1",יָת,Prep,w-היתי,Aramaic PreLets-1 Pre_DefArt Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קמח,"idum0009-4, idum0041-4, idum0086-9, idum0086-17, idum0127-4, idum0144-4, idum0153-14, idum0156-16, idum0173-4, idum0228-3, idum0338-2, idum0420-8, idum0435-7, idum0438-6, idum0447-2, idum0454-6, idum0465-2, idum0466-7, idum0474-9, idum0489-4, idum0502-3, idum0508-7, idum0514-2, idum0514-9, idum0525-7, idum0526-6, idum0528-3, idum0533-3, idum0535-7, idum0536-6, idum0544-8, idum0546-6, idum0551-2, idum0554-7, idum0561-2, idum0563-6, idum0564-7, idum0566-2, idum0566-6, idum0569-7, idum0580-4, idum0592-7, idum0596-8, idum0614-7, idum0623-12, idum0631-7, idum0634-4, idum0638-7, idum0643-2, idum0648-7, idum0652-7, idum0653-6, idum0670-8, mare0085-2",קֶמַח,Noun,w-קמח,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוסנר,"idum0010-1, idum0477-9, idum0599-4",?,Propername,w-קוסנר,Propername Masc Pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוסיהב,"idum0010-5, idum0553-5, idum0554-6, idum0555-1, idum0556-1, idum0557-1, idum0558-1, idum0559-1, idum0561-1, mare0136-16",?,Ptcp,w-קוסיהב,Ptcp Masc Sing PAny Abs Suf_Proniminal SufType_Accusative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פחלצן,"idum0010-6, idum0154-4, idum0206-6, idum0319-6, idum0321-4, idum0486-6, idum0674-14",פֻּחְלָץ,Noun,w-פחלצן,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_Fem Suf_Pl Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לאב,"idum0010a-2, idum0011-7, idum0012-8, idum0087-3, idum0089-3, idum0091-3, idum0098-3, idum0107-3, idum0120-3, idum0124-3, idum0125-2, idum0128-3, idum0134-8, idum0170-3, idum0221-3, idum0225-3, idum0316-7, idum0422-6, idum0427-2, idum0460-3, idum0475-3, idum0488-2, idum0523-7, idum0539-3, idum0548-7, idum0549-5, idum0565-3, idum0578-2, idum0589-2, idum0612-3, idum0613-2, idum0635-5, idum0636-6, idum0637-3, idum0642-2, idum0646-6, idum0661-3, mare0071-2, masa0568-3, masa0577-3, unkn0107-59, unkn0107-65",אָב,Noun,w-לאב,PreLets-1 Pre_Prep Pre_Def Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מלכו,"idum0010a-5, idum0034-6, idum0036-6, idum0037-6, idum0098-8, idum0544-4, idum0545-1, idum0546-5, idum0547-2, mger0046-2",מֶלֶךְ,Noun,w-מלכו,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive Suf_Masc Suf_Sing Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ליד,"idum0010a-6, idum0023-9, idum0024-8, idum0084-9, idum0120-10, idum0156-8, idum0157-12, idum0425-13, idum0461-10, idum0541-2, idum0601-15, idum0602-7",יַד,Prep,w-ליד,Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מריש,"idum0011-4, idum0134-4, idum0326-11, idum0545-2",רֵישׁ,Adv,w-מריש,Aramaic Adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חדב,idum0011-5,?,Propername,w-חדב,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זביד,idum0012-1,זבד_פיעל,Verb,w-זביד,Verb Masc Sing P3 Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שרי,"idum0012-4, idum0074-7, idum0081-6, idum0082-6, idum0103-4, idum0139-7, idum0339-2, mare0098-2",שָׁרֵי,Modal,w-שרי,Modal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חדה,"idum0012-5, idum0655-3, masa0698-1",עֵין־חַדָּה,Propername,w-חדה,Propername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חביה,"idum0013-6, idum0014-5, idum0059-4, idum0059-5, idum0112-5, idum0113-6, idum0114-4, idum0115-2, idum0116-5, idum0223-3, idum0316-3",חֹב,Noun,w-חביה,Noun Masc Pl Abs Suf_Proniminal SufType_Possessive Suf_Fem Suf_Sing Suf_P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בעלמלך,"idum0014-1, idum0215-3",?,Noun,w-בעלמלך,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עדרבעל,"idum0015-6, idum0180-1",?,Noun,w-עדרבעל,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וזבדאל,idum0015-7,?,Noun,w-וזבדאל,PreLets-1 Pre_Conj Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חכ,"idum0015-12, idum0313-5, idum0327-9, idum0334-8, idum0340-5, idum0385-6, idum0386-6, idum0492-9, idum0537b-6, idum0575-7, idum0625-6",?,Propername,w-חכ,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוסינקם,"idum0017-6, idum0025-6, idum0026-6, idum0027-4, idum0031-1, idum0518-5, idum0519-3, idum0520-5, idum0521-7, idum0522-4, idum0566-5, mare0127-1",?,Ptcp,w-קוסינקם,Ptcp Masc Sing P3 Abs Suf_Proniminal SufType_Accusative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עמקוס,"idum0018-6, idum0228-1",?,Noun,w-עמקוס,Noun Masc Pl Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עני,"idum0019-7, idum0119-7, idum0479-8, idum0618a-5, idum0618b-4, idum0619-5, idum0620-1, idum0621-6, idum0622-1, idum0623-6, idum0637-8, idum0645-12, mare0073-2, mare0110-3",עָנִי,Noun,w-עני,Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עמאל,idum0021-6,?,Propername,w-עמאל,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אחיקם,idum0022-7,אֲחִיקָם,Propername,w-אחיקם,Propername Masc Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,idum0023-6,,,w-+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קוסעידר,"idum0023-8, idum0171-1, idum0640-5, idum0641-5, idum0642-5",?,Ptcp,w-קוסעידר,Ptcp Masc Pl P3 Abs Suf_Proniminal SufType_Accusative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דכרו,"idum0024-4, idum0024a-1, idum0053-6",רוֹ,Propername,w-דכרו,PreLets-2 Pre_Prep Pre_RelSub Pre_NotDef Propername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בב,"idum0024-14, idum0062-13, idum0166-16, idum0327-10, idum0329-7, idum0452-11, idum0486-8, idum0553-7, mare0098-1",בָּבָא,Noun,w-בב,Aramaic Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בשם,idum0024-20,שֵׁם,Prep,w-בשם,Prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לשעדאל,"idum0024a-2, idum0376-7, idum0377-2, idum0379-2, idum0385-5, idum0386-5, idum0387-2",?,Noun,w-לשעדאל,Noun Masc Sing Abs Suf_Proniminal SufType_Possessive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שס,"idum0026-12, idum0050-7, idum0051-4, idum0066-6, idum0067-6, idum0071-7, idum0087-7, idum0089-7, idum0091-7, idum0092-8, idum0100-9, idum0110-7, idum0119-8, idum0122-11, idum0124-12, idum0209-4, idum0218-6, idum0222-3, idum0312-17, idum0317-11, idum0336-7, idum0341-12, idum0425-12, idum0426-2, idum0449-9, idum0450-7, idum0452-9, idum0452-15, idum0457-4, idum0468-5, idum0497-5, idum0506-4, idum0542-5, idum0547-3, idum0593-4, idum0599-9, idum0602-9, idum0625-8, idum0637-5, idum0642-6, idum0645-13, idum0647-2, idum0649-8, idum0650-8, idum0676-9, idum0677-6, idum0679-7, mare0085-4, unkn0107-7, unkn0107-26, unkn0107-42, unkn0107-47",שס,Num,w-שס,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר,"idum0026-14, idum0449-11, idum0474-8, idum0484-4, idum0572-6, idum0667-4, idum0672-12",ר,Num,w-ר,Num,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לטבת,"idum0027-3, idum0104-3, idum0126-2, idum0149-3, idum0162-3, idum0332-3, idum0451-2, idum0498-7, idum0525-3, idum0540-3, idum0577-3, idum0579-2, idum0604-3, idum0667-9, idum0682-2, masa0579-1",טֵבֵת,Noun,w-לטבת,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למנקדה,"idum0027-7, idum0033-7, idum0379-9, idum0424-9, idum0469-4, idum0533-2",נקד_פעֵל,Verb,w-למנקדה,Aramaic PreLets-1 Pre_Prep Pre_NotDef Verb Fem Sing P3 Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כרן,"idum0027-9, idum0033-11, idum0034-10, idum0076-9, idum0078-9",רֹן,Noun,w-כרן,PreLets-1 Pre_Prep Pre_NotDef Noun Masc Sing Abs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
